Date,Plant,Production_Line,Product,Planned_Units,Produced_Units,Defective_Units,Downtime_Minutes,Downtime_Reason,Shift,Overtime_Hours,Production_Cost
2025-01-01,Plant D,Line 1,Product B,1040,869,59,183,Planned Maintenance,Morning,3.7,71145.8
2025-01-01,Plant C,Line 4,Product D,1133,1048,34,28,Machine Failure,Morning,3.3,61475.09
2025-01-01,Plant C,Line 2,Product B,1033,996,37,54,Machine Failure,Evening,2.1,64212.69
2025-01-01,Plant C,Line 4,Product C,742,678,15,78,Power Failure,Evening,8.1,67374.34
2025-01-01,Plant C,Line 4,Product E,967,936,29,40,Quality Issue,Evening,0.3,70131.42
2025-01-01,Plant C,Line 3,Product C,808,746,19,149,Machine Failure,Morning,0.1,65144.05
2025-01-01,Plant A,Line 1,Product E,980,856,23,56,Changeover,Evening,6.5,71150.36
2025-01-01,Plant B,Line 2,Product D,1241,1085,50,47,Material Shortage,Morning,6.3,74695.46
2025-01-01,Plant A,Line 1,Product B,1079,934,30,47,Machine Failure,Night,1.5,62022.8
2025-01-01,Plant A,Line 4,Product A,805,775,19,63,Machine Failure,Morning,1.0,53620.91
2025-01-01,Plant B,Line 4,Product B,1016,961,34,17,Machine Failure,Night,2.1,68610.48
2025-01-01,Plant B,Line 1,Product B,1118,981,50,62,Material Shortage,Morning,4.8,71240.84
2025-01-01,Plant A,Line 3,Product D,1351,1324,47,13,Changeover,Night,3.7,78226.21
2025-01-01,Plant A,Line 1,Product E,948,905,43,113,Quality Issue,Evening,4.1,72519.11
2025-01-01,Plant A,Line 2,Product A,897,869,30,76,Power Failure,Night,3.4,69106.65
2025-01-02,Plant A,Line 4,Product B,1006,936,39,35,Material Shortage,Evening,0.0,62439.12
2025-01-02,Plant D,Line 4,Product D,1070,854,57,121,Machine Failure,Evening,2.6,59728.18
2025-01-02,Plant B,Line 1,Product A,866,754,25,51,Planned Maintenance,Evening,3.4,61079.39
2025-01-02,Plant A,Line 2,Product A,880,861,29,26,Planned Maintenance,Night,2.6,62909.03
2025-01-02,Plant B,Line 2,Product B,1089,990,52,78,Planned Maintenance,Morning,1.2,68697.98
2025-01-02,Plant D,Line 4,Product B,1001,847,39,46,Machine Failure,Morning,2.5,62789.49
2025-01-02,Plant B,Line 4,Product B,928,830,32,26,Material Shortage,Morning,2.6,59665.38
2025-01-03,Plant D,Line 3,Product C,728,598,22,71,Machine Failure,Morning,6.3,64421.42
2025-01-03,Plant A,Line 2,Product E,974,898,31,44,Material Shortage,Morning,3.7,74735.99
2025-01-03,Plant A,Line 1,Product A,906,830,24,54,Material Shortage,Evening,4.9,63256.42
2025-01-03,Plant B,Line 3,Product C,755,602,21,55,Machine Failure,Morning,6.9,62358.39
2025-01-03,Plant A,Line 1,Product B,1185,1143,34,27,Material Shortage,Morning,4.3,77315.0
2025-01-03,Plant A,Line 3,Product A,931,804,32,215,Planned Maintenance,Night,6.2,64362.64
2025-01-03,Plant C,Line 3,Product A,920,863,22,54,Planned Maintenance,Evening,3.7,62800.45
2025-01-03,Plant B,Line 3,Product A,986,846,48,74,Planned Maintenance,Night,7.2,73422.3
2025-01-03,Plant D,Line 1,Product E,982,804,34,47,Changeover,Evening,3.1,71551.4
2025-01-04,Plant A,Line 4,Product E,865,806,23,48,Power Failure,Morning,3.6,62181.05
2025-01-04,Plant B,Line 3,Product C,843,731,27,80,Machine Failure,Evening,7.4,75529.51
2025-01-04,Plant B,Line 3,Product D,1439,1283,62,117,Machine Failure,Evening,6.6,85290.14
2025-01-04,Plant A,Line 1,Product B,1079,1050,39,58,Quality Issue,Evening,5.3,75041.9
2025-01-04,Plant A,Line 1,Product B,1074,991,29,57,Quality Issue,Morning,2.4,67860.22
2025-01-05,Plant A,Line 2,Product E,923,896,26,56,Quality Issue,Evening,3.6,72502.25
2025-01-05,Plant D,Line 3,Product D,1456,1226,60,64,Machine Failure,Morning,3.5,84006.38
2025-01-05,Plant C,Line 4,Product A,840,838,27,30,Machine Failure,Evening,5.0,65050.55
2025-01-05,Plant C,Line 4,Product A,830,727,21,93,Material Shortage,Evening,2.6,54151.28
2025-01-05,Plant D,Line 3,Product B,1156,990,51,80,Changeover,Evening,4.1,72014.2
2025-01-05,Plant C,Line 1,Product D,1266,1277,40,16,Planned Maintenance,Night,3.3,72507.8
2025-01-05,Plant C,Line 3,Product A,978,985,32,28,Machine Failure,Night,2.4,73939.9
2025-01-05,Plant D,Line 1,Product D,1196,979,58,157,Planned Maintenance,Evening,8.0,73479.72
2025-01-05,Plant A,Line 4,Product E,894,862,32,22,Machine Failure,Night,2.3,63705.21
2025-01-06,Plant D,Line 4,Product B,971,794,44,144,Changeover,Evening,4.6,64748.83
2025-01-06,Plant C,Line 2,Product C,719,659,10,51,Planned Maintenance,Evening,4.0,62743.54
2025-01-06,Plant B,Line 3,Product B,1198,1035,50,120,Material Shortage,Evening,2.5,77461.82
2025-01-06,Plant C,Line 4,Product D,1182,1138,31,25,Material Shortage,Morning,1.7,64739.43
2025-01-06,Plant A,Line 3,Product E,1103,989,25,42,Machine Failure,Evening,8.5,83670.09
